id,event_ar,fact_ar,category,used,used_date
36,اليوم الوطني,المملكة العربية السعودية تأسست عام 1932م على يد الملك عبدالعزيز,تاريخ,No,
37,اليوم الوطني,السعودية أكبر دولة في الشرق الأوسط بمساحة 2.15 مليون كم²,جغرافيا,No,
38,اليوم الوطني,رؤية 2030 تستهدف استقبال 100 مليون سائح سنوياً,رؤية 2030,No,
39,اليوم الوطني,الملك عبدالعزيز وحّد أكثر من 40 منطقة لتأسيس المملكة,تاريخ,No,
40,اليوم الوطني,السعودية تضم الحرمين الشريفين قبلة المسلمين,دين,No,
41,اليوم الوطني,نيوم مشروع مستقبلي بقيمة 500 مليار دولار,رؤية 2030,No,
42,اليوم الوطني,السعودية من أكبر 20 اقتصاد في العالم,اقتصاد,No,
43,اليوم الوطني,مشروع البحر الأحمر سيضم 50 منتجعاً فاخراً,رؤية 2030,No,
44,اليوم الوطني,الرياض من أسرع المدن نمواً في العالم,تطور,No,
45,اليوم الوطني,السعودية ستستضيف كأس العالم 2034 منفردة,رياضة,No,
46,اليوم الوطني,خط حديد الرياض المترو من أكبر مشاريع المترو في العالم,تطور,No,
47,اليوم الوطني,مشروع ذا لاين مدينة مستقبلية بطول 170 كم,رؤية 2030,No,
48,اليوم الوطني,السعودية حققت قفزة كبيرة في مؤشر التنافسية العالمية,اقتصاد,No,
49,اليوم الوطني,الملك سلمان هو الحاكم السابع للمملكة منذ تأسيسها,تاريخ,No,
50,اليوم الوطني,ولي العهد الأمير محمد بن سلمان يقود رؤية 2030,رؤية 2030,No,
51,يوم التأسيس,يوم التأسيس يحتفل بتأسيس الدولة السعودية الأولى عام 1727م,تاريخ,No,
52,يوم التأسيس,الإمام محمد بن سعود أسس الدولة السعودية الأولى في الدرعية,تاريخ,No,
53,يوم التأسيس,الدرعية كانت عاصمة الدولة السعودية الأولى,تاريخ,No,
54,يوم التأسيس,يوم التأسيس يوافق 22 فبراير من كل عام,تاريخ,No,
55,يوم التأسيس,الدولة السعودية لها تاريخ يمتد لـ 3 قرون,تاريخ,No,
56,يوم التأسيس,حي الطريف في الدرعية موقع تراث عالمي لليونسكو,ثقافة,No,
57,يوم التأسيس,أول ملوك الدولة السعودية الأولى هو الإمام محمد بن سعود,تاريخ,No,
58,يوم التأسيس,الدولة السعودية امتدت من نجد إلى الحجاز والأحساء,جغرافيا,No,
59,يوم التأسيس,يوم التأسيس إجازة رسمية في المملكة منذ 2022,تاريخ,No,
60,يوم التأسيس,الدرعية تحولت لمشروع سياحي ضخم ضمن رؤية 2030,رؤية 2030,No,
61,الراتب,قاعدة 50/30/20 للميزانية: 50% احتياجات - 30% رغبات - 20% ادخار,مالية,No,
62,الراتب,حوّل للادخار أول ما ينزل الراتب وليس آخر الشهر,مالية,No,
63,الراتب,صندوق الطوارئ يجب أن يغطي 3-6 أشهر من مصاريفك,مالية,No,
64,الراتب,سداد الديون ذات الفائدة العالية أولوية قبل الادخار,مالية,No,
65,الراتب,تطبيقات تتبع المصاريف تساعدك على معرفة أين يذهب راتبك,مالية,No,
66,الراتب,الاستثمار المبكر يستفيد من قوة الفائدة المركبة,مالية,No,
67,الراتب,ميّز بين الاحتياجات والرغبات قبل الشراء,مالية,No,
68,الراتب,راتب موظفي القطاع الحكومي ينزل يوم 27 من كل شهر هجري,معلومة,No,
69,الراتب,التخطيط المالي المبكر يضمن تقاعداً مريحاً,مالية,No,
70,الراتب,زيادة الدخل أفضل من تقليل المصاريف على المدى البعيد,مالية,No,
71,موسم الرياض,موسم الرياض 2023 استقبل أكثر من 15 مليون زائر,إحصائيات,No,
72,موسم الرياض,بوليفارد رياض سيتي من أكبر مناطق الترفيه في الشرق الأوسط,ترفيه,No,
73,موسم الرياض,موسم الرياض يضم أكثر من 14 منطقة ترفيهية,ترفيه,No,
74,موسم الرياض,الموسم يستمر لأكثر من 5 أشهر من الفعاليات,ترفيه,No,
75,موسم الرياض,موسم الرياض يستضيف نجوم عالميين في الموسيقى والرياضة,ترفيه,No,
76,كأس العالم 2034,السعودية أول دولة عربية تستضيف كأس العالم منفردة,رياضة,No,
77,كأس العالم 2034,السعودية تبني 11 ملعباً جديداً لكأس العالم,رياضة,No,
78,كأس العالم 2034,كأس العالم 2034 سيكون الأكبر في التاريخ بمشاركة 48 منتخباً,رياضة,No,
79,كأس العالم 2034,استاد الرياض الجديد سيستوعب أكثر من 90 ألف متفرج,رياضة,No,
80,كأس العالم 2034,كأس العالم 2034 سيُقام في نوفمبر وديسمبر,رياضة,No,
81,الإجازة الصيفية,الإجازة الصيفية فرصة لاكتشاف مناطق سياحية جديدة في السعودية,سياحة,No,
82,الإجازة الصيفية,أبها وجهة صيفية مميزة بطقس معتدل ومناظر خلابة,سياحة,No,
83,الإجازة الصيفية,العلا تضم آثار مدائن صالح التاريخية,سياحة,No,
84,الإجازة الصيفية,البحر الأحمر يوفر تجارب غوص استثنائية,سياحة,No,
85,الإجازة الصيفية,الطائف تُلقب بمصيف السعودية لطقسها المعتدل,سياحة,No,
86,كأس السعودية,كأس السعودية أغلى سباق خيول في العالم بجوائز 35 مليون دولار,رياضة,No,
87,كأس السعودية,السباق يُقام في ميدان الملك عبدالعزيز للفروسية,رياضة,No,
88,كأس السعودية,يشارك في السباق خيول من أكثر من 15 دولة,رياضة,No,
89,كأس السعودية,تربية الخيول العربية الأصيلة تقليد سعودي عريق,ثقافة,No,
90,كأس السعودية,كأس السعودية بدأ عام 2020 وأصبح حدثاً عالمياً,تاريخ,No,
